utente/$/$/hotel,brec,drec,urec 
Rogerio/$/$/Howard Johnson Inn - Newburgh,0.47,0.52,0.01
TomN/$/$/Howard Johnson Inn - Newburgh,0.62,0.37,0.01
Amead6891/$/$/Howard Johnson Inn - Newburgh,0.11,0.88,0.01
marisar660/$/$/Howard Johnson Inn - Newburgh,0.21,0.78,0.01
Q/$/$/Howard Johnson Inn - Newburgh,0.59,0.4,0.01
Q/$/$/Red Roof Inn Cedar Rapids,0.04,0.93,0.03
Kelman's Scrap/$/$/Howard Johnson Inn - Newburgh,0.42,0.57,0.01
goskiing/$/$/Howard Johnson Inn - Newburgh,0.11,0.88,0.01
Caitlin/$/$/Howard Johnson Inn - Newburgh,0.48,0.51,0.01
Caitlin/$/$/Travelodge Anaheim Convention Center,0.0,1.0,0.0
Caitlin/$/$/Radisson Blu Conference and Airport Hotel,0.0,1.0,0.0
del/$/$/Howard Johnson Inn - Newburgh,0.67,0.32,0.01
carl/$/$/Howard Johnson Inn - Newburgh,0.0,1.0,0.0
Bathsheba/$/$/Howard Johnson Inn - Newburgh,0.21,0.78,0.01
Chips/$/$/Howard Johnson Inn - Newburgh,0.01,0.98,0.01
684philipz/$/$/Howard Johnson Inn - Newburgh,0.01,0.98,0.01
Gord/$/$/Howard Johnson Inn - Newburgh,0.0,1.0,0.0
amy z/$/$/Howard Johnson Inn - Newburgh,0.0,1.0,0.0
john m/$/$/Howard Johnson Inn - Newburgh,0.01,0.98,0.01
vin/$/$/Howard Johnson Inn - Newburgh,0.0,1.0,0.0
SUNGA/$/$/Howard Johnson Inn - Newburgh,0.49,0.5,0.01
Teri/$/$/Howard Johnson Inn - Newburgh,0.0,0.99,0.01
Teri/$/$/Holiday Inn Express & Suites Phoenix Downtown - Ballpark,0.0,1.0,0.0
Teri/$/$/Super 8 - Upland,0.0,0.96,0.04
Teri/$/$/Comfort Inn Montgomery,0.0,1.0,0.0
Teri/$/$/Cherokee Lodge Bed and Breakfast,0.0,1.0,0.0
janas834/$/$/Howard Johnson Inn - Newburgh,0.01,0.98,0.01
Andersons/$/$/Howard Johnson Inn - Newburgh,0.0,1.0,0.0
723reginar/$/$/Howard Johnson Inn - Newburgh,0.52,0.47,0.01
ricka../$/$/Howard Johnson Inn - Newburgh,0.11,0.88,0.01
SYL501/$/$/Howard Johnson Inn - Newburgh,0.0,1.0,0.0
Cristin/$/$/Howard Johnson Inn - Newburgh,0.55,0.44,0.01
Cristin/$/$/Comfort Suites,0.0,1.0,0.0
E6764UVmelanieb/$/$/Howard Johnson Inn - Newburgh,0.11,0.88,0.01
kent lam/$/$/Howard Johnson Inn - Newburgh,0.67,0.32,0.01
JANEEN N/$/$/Howard Johnson Inn - Newburgh,0.57,0.42,0.01
Grace B/$/$/Howard Johnson Inn - Newburgh,0.57,0.42,0.01
Austin Bransgrove/$/$/Howard Johnson Inn - Newburgh,0.01,0.98,0.01
michaelsB1386HO/$/$/Howard Johnson Inn - Newburgh,0.52,0.47,0.01
stephentG8462WX/$/$/Howard Johnson Inn - Newburgh,0.0,1.0,0.0
Emil M/$/$/Howard Johnson Inn - Newburgh,0.01,0.98,0.01
elizabethlE4458ON/$/$/Howard Johnson Inn - Newburgh,0.0,1.0,0.0
P8328PObarbarad/$/$/Howard Johnson Inn - Newburgh,0.0,1.0,0.0
douglasmF3924DV/$/$/Howard Johnson Inn - Newburgh,0.11,0.88,0.01
Kelly D/$/$/Howard Johnson Inn - Newburgh,0.47,0.52,0.01
Andrew Springer/$/$/Howard Johnson Inn - Newburgh,0.0,1.0,0.0
hrcobras98/$/$/Howard Johnson Inn - Newburgh,0.21,0.78,0.01
terryj441/$/$/Howard Johnson Inn - Newburgh,0.0,1.0,0.0
Mike Cole/$/$/Howard Johnson Inn - Newburgh,0.52,0.47,0.01
Michelle Gilliam/$/$/Howard Johnson Inn - Newburgh,0.0,1.0,0.0
naomi1947/$/$/Howard Johnson Inn - Newburgh,0.0,1.0,0.0
patriciabK5148BV/$/$/Howard Johnson Inn - Newburgh,0.62,0.37,0.01
brendanmaughan02/$/$/Howard Johnson Inn - Newburgh,0.63,0.36,0.01
angelosm124/$/$/Howard Johnson Inn - Newburgh,0.01,0.98,0.01
Steve Carroll/$/$/Howard Johnson Inn - Newburgh,0.01,0.98,0.01
Jennifer D/$/$/Howard Johnson Inn - Newburgh,0.6,0.39,0.01
Jennifer D/$/$/Cliffrose Lodge Gardens,0.0,1.0,0.0
rocknrollheart65/$/$/Howard Johnson Inn - Newburgh,0.21,0.78,0.01
marcosl313/$/$/Howard Johnson Inn - Newburgh,0.01,0.98,0.01
314christyl/$/$/Howard Johnson Inn - Newburgh,0.21,0.78,0.01
Ferry Godmother/$/$/Howard Johnson Inn - Newburgh,0.0,1.0,0.0
NyKc3/$/$/Howard Johnson Inn - Newburgh,0.21,0.78,0.01
missmaggie1/$/$/Howard Johnson Inn - Newburgh,0.11,0.88,0.01
jj/$/$/Howard Johnson Inn - Newburgh,0.01,0.98,0.01
Ann Zuccardy/$/$/Howard Johnson Inn - Newburgh,0.01,0.98,0.01
安管家/$/$/Howard Johnson Inn - Newburgh,0.11,0.88,0.01
Gérard/$/$/Howard Johnson Inn - Newburgh,0.01,0.98,0.01
Xiomara/$/$/Holiday Inn Express Colton-riverside North,0.02,0.94,0.04
private citzen/$/$/Holiday Inn Express Colton-riverside North,0.0,1.0,0.0
drmo/$/$/Holiday Inn Express Colton-riverside North,0.6,0.36,0.04
Mukta/$/$/Holiday Inn Express Colton-riverside North,0.02,0.94,0.04
Kayla/$/$/Holiday Inn Express Colton-riverside North,0.0,1.0,0.0
Kayla/$/$/Hampton Inn & Suites-downtown-tutwiler,0.0,1.0,0.0
Kayla/$/$/Comfort Suites,0.0,1.0,0.0
Kayla/$/$/Days Inn and Suites Albany,0.05,0.93,0.02
lusciouslee/$/$/Holiday Inn Express Colton-riverside North,0.0,1.0,0.0
GARY/$/$/Holiday Inn Express Colton-riverside North,0.02,0.94,0.04
Bertha/$/$/Holiday Inn Express Colton-riverside North,0.0,1.0,0.0
Jackie Tilman/$/$/Holiday Inn Express Colton-riverside North,0.6,0.36,0.04
Delaney/$/$/Holiday Inn Express Colton-riverside North,0.02,0.94,0.04
Ruth/$/$/Holiday Inn Express Colton-riverside North,0.0,1.0,0.0
Ruth/$/$/Comfort Suites,0.0,1.0,0.0
Ruth/$/$/Hampton Inn Sarasota - I-75 Bee Ridge,0.0,1.0,0.0
Ruth/$/$/Microtel Inn By Wyndham Knoxville,0.0,1.0,0.0
Ruth/$/$/Palm Suites,0.0,1.0,0.0
Ruth/$/$/Hampton Inn Dublin,0.0,1.0,0.0
Ruth/$/$/Knights Inn Carmel Hill,0.0,1.0,0.0
Lanny/$/$/Holiday Inn Express Colton-riverside North,0.12,0.84,0.04
951raidersfan/$/$/Holiday Inn Express Colton-riverside North,0.02,0.94,0.04
Kübra/$/$/Holiday Inn Express Colton-riverside North,0.02,0.94,0.04
Mochi/$/$/Holiday Inn Express Colton-riverside North,0.02,0.94,0.04
��������Gregor�������� van der Mark/$/$/Holiday Inn Express Colton-riverside North,0.02,0.94,0.04
Guce/$/$/Holiday Inn Express Colton-riverside North,0.6,0.36,0.04
SusanneCA/$/$/Holiday Inn Express Colton-riverside North,0.0,1.0,0.0
K��bra/$/$/Holiday Inn Express Colton-riverside North,0.02,0.94,0.04
dorothy/$/$/Holiday Inn Express Colton-riverside North,0.12,0.84,0.04
AndrewCrawford1969/$/$/Holiday Inn Express Colton-riverside North,0.0,1.0,0.0
ritteh/$/$/Holiday Inn Express Colton-riverside North,0.0,1.0,0.0
raseo/$/$/Holiday Inn Express Colton-riverside North,0.0,1.0,0.0
Nate J/$/$/Holiday Inn Express Colton-riverside North,0.0,1.0,0.0
Mike W/$/$/Holiday Inn Express Colton-riverside North,0.07,0.9,0.03
Mike W/$/$/Fairfield Inn Saginaw,0.01,0.96,0.03
Mike W/$/$/Econo Lodge Miles City,0.03,0.93,0.04
Rhianna D/$/$/Holiday Inn Express Colton-riverside North,0.02,0.94,0.04
Gregor van der Mark/$/$/Holiday Inn Express Colton-riverside North,0.02,0.94,0.04
🇭🇺Gregor🇹🇷 van der Mark/$/$/Holiday Inn Express Colton-riverside North,0.65,0.31,0.04
rodriguezje/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
Heather Moore Holcomb/$/$/La Quinta Inn Calhoun,0.89,0.09,0.02
jocboc/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
garyf899/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
durangokid2000/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
Christine A/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
manhattenup/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
Tyler Shelton/$/$/La Quinta Inn Calhoun,0.79,0.19,0.02
L W/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
Mark Anthony/$/$/La Quinta Inn Calhoun,0.75,0.23,0.02
hyperrcng/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
Mickster48/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
miogranny/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
Cheryl C/$/$/La Quinta Inn Calhoun,0.02,0.96,0.02
Cheryl C/$/$/Lewis River Inn,0.0,0.94,0.06
Kim R/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
nlr1113/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
Scott D/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
ZiOscreations/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
Charles D/$/$/La Quinta Inn Calhoun,0.7,0.28,0.02
treewoman/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
Cynthia H/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
TKatz25/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
Maureen W/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
paigehunter/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
IA-CS-guy/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
celesteu2015/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
U8800SUsandrac/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
Gary T/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
betsypup/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
Zumba365/$/$/La Quinta Inn Calhoun,0.79,0.19,0.02
swarmi/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
marshall922/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
Dennis N/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
ggilsrud/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
Bambam0922/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
Cheryl S/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
Jherbert2/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
Dianne F/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
Fcbrooks/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
budpayday/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
Theresa S/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
Flatcoatfun/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
Donna K/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
Donna K/$/$/Fairfield Inn Saginaw,0.07,0.9,0.03
John K/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
John K/$/$/Knights Inn Eau Claire,0.0,1.0,0.0
John K/$/$/Hampton Inn and Suites Annapolis,0.0,1.0,0.0
John K/$/$/Twin Pines Motel,0.0,1.0,0.0
lisa s/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
David/ava C/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
751monas/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
Tim L/$/$/La Quinta Inn Calhoun,0.02,0.96,0.02
Tim L/$/$/Super 8 - Effingham,0.03,0.94,0.03
Jose O/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
Donna H/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
Robert J/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
Robert J/$/$/Best Western Hospitality Hotel and Suites,0.06,0.92,0.02
Robert J/$/$/Hyatt House Colorado Springs,0.0,0.97,0.03
Robert J/$/$/Americas Best Value Inn,0.11,0.88,0.01
daddycole/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
Meg S/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
4UFYI/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
pinkmoongirl/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
Caroline M/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
Polly S/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
Kathy Mullins/$/$/La Quinta Inn Calhoun,0.89,0.09,0.02
JoeB1KnoB/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
Merrie R/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
Shelton B/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
George B/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
michellerU4517HL/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
Anette C/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
Pamela C/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
RogMilwaukee_WI/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
james r/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
bobik49/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
Admiral Dewey S/$/$/La Quinta Inn Calhoun,0.0,1.0,0.0
Bharrison57/$/$/La Quinta Inn Calhoun,0.07,0.91,0.02
Svende/$/$/Fairfield Inn Saginaw,0.0,1.0,0.0
Chene Koppitz/$/$/Fairfield Inn Saginaw,0.07,0.9,0.03
Cori/$/$/Fairfield Inn Saginaw,0.02,0.95,0.03
Cori/$/$/Super 8 Fort Collins,0.07,0.9,0.03
Kareen/$/$/Fairfield Inn Saginaw,0.0,1.0,0.0
Sofia/$/$/Fairfield Inn Saginaw,0.07,0.9,0.03
Sofia/$/$/Best Western Knoxville Suites,0.09,0.87,0.04
Rebecca Johnson/$/$/Fairfield Inn Saginaw,0.0,1.0,0.0
James R/$/$/Fairfield Inn Saginaw,0.03,0.94,0.03
James R/$/$/Best Western Knoxville Suites,0.75,0.21,0.04
James R/$/$/Cliffrose Lodge Gardens,0.0,1.0,0.0
James R/$/$/Homewood Suites By Hilton Albuquerque - Journal Center,0.0,1.0,0.0
Wolfman/$/$/Fairfield Inn Saginaw,0.07,0.9,0.03
Charlie and Carol/$/$/Fairfield Inn Saginaw,0.07,0.9,0.03
Richard S/$/$/Fairfield Inn Saginaw,0.0,1.0,0.0
Richard S/$/$/Holiday Inn Express Lubbock South,0.0,1.0,0.0
Richard S/$/$/40 Berkeley Hostel,0.0,0.99,0.01
Jeannette/$/$/Fairfield Inn Saginaw,0.0,1.0,0.0
Anthony H/$/$/Fairfield Inn Saginaw,0.07,0.9,0.03
Michael J/$/$/Fairfield Inn Saginaw,0.0,1.0,0.0
smartace2006/$/$/Fairfield Inn Saginaw,0.07,0.9,0.03
Syed A/$/$/Fairfield Inn Saginaw,0.0,1.0,0.0
Syed A/$/$/Intown Suites Nashville North,0.0,1.0,0.0
Sherry M/$/$/Fairfield Inn Saginaw,0.0,1.0,0.0
DhanyaSivaprakasam/$/$/Fairfield Inn Saginaw,0.07,0.9,0.03
Pumpkin623/$/$/Fairfield Inn Saginaw,0.07,0.9,0.03
allabouttrav/$/$/Fairfield Inn Saginaw,0.07,0.9,0.03
Rocktownlady/$/$/Fairfield Inn Saginaw,0.0,1.0,0.0
Tricia Asay/$/$/Fairfield Inn Saginaw,0.78,0.19,0.03
brick house/$/$/Fairfield Inn Saginaw,0.77,0.2,0.03
nlh714/$/$/Fairfield Inn Saginaw,0.07,0.9,0.03
cpthook24/$/$/Fairfield Inn Saginaw,0.0,1.0,0.0
auryan/$/$/Fairfield Inn Saginaw,0.0,1.0,0.0
Ashleigh Vasi/$/$/Fairfield Inn Saginaw,0.07,0.9,0.03
cfritz2912/$/$/Fairfield Inn Saginaw,0.0,1.0,0.0
ilovejamaica2008/$/$/Fairfield Inn Saginaw,0.07,0.9,0.03
Jessie H/$/$/Fairfield Inn Saginaw,0.07,0.9,0.03
Adam Acampora/$/$/Ihg,0.0,1.0,0.0
Palermo/$/$/Hotel Casena Dei Colli,0.0,1.0,0.0
karine/$/$/Hotel Casena Dei Colli,0.0,1.0,0.0
OLIVIER/$/$/Hotel Casena Dei Colli,0.0,1.0,0.0
MARCO ANTONIO/$/$/Hotel Casena Dei Colli,0.0,1.0,0.0
MARCO ANTONIO/$/$/Fiesta Inn and Suites,0.01,0.98,0.01
Giovanni/$/$/Hotel Casena Dei Colli,0.09,0.86,0.05
Twinkle/$/$/Hotel Casena Dei Colli,0.0,1.0,0.0
Julien/$/$/Hotel Casena Dei Colli,0.0,1.0,0.0
France/$/$/Hotel Casena Dei Colli,0.09,0.86,0.05
luca/$/$/Hotel Casena Dei Colli,0.67,0.28,0.05
Pietro/$/$/Hotel Casena Dei Colli,0.09,0.86,0.05
Viv/$/$/Hotel Casena Dei Colli,0.67,0.28,0.05
Anita/$/$/Hotel Casena Dei Colli,0.04,0.91,0.05
Anita/$/$/Super 8 Crete Ne,0.08,0.84,0.08
Anita/$/$/Days Inn Lanham Washington Dc,0.07,0.89,0.04
Anita/$/$/Comfort Suites Fort Pierce,0.01,0.95,0.04
Anita/$/$/Quality Inn and Suites Big Rapids,0.03,0.93,0.04
FABRIZIO/$/$/Hotel Casena Dei Colli,0.0,1.0,0.0
Gaia/$/$/Hotel Casena Dei Colli,0.09,0.86,0.05
nicolas/$/$/Hotel Casena Dei Colli,0.0,1.0,0.0
nicolas/$/$/Best Western Knoxville Suites,0.0,1.0,0.0
nicolas/$/$/Campanile Lyon Ecully,0.02,0.92,0.06
nicolas/$/$/Best Western Saint-etienne Aeroport,0.0,1.0,0.0
Christer/$/$/Hotel Casena Dei Colli,0.0,1.0,0.0
Alfonso Maurizio/$/$/Hotel Casena Dei Colli,0.0,1.0,0.0
Pierluigi/$/$/Hotel Casena Dei Colli,0.09,0.86,0.05
PAOLO/$/$/Hotel Casena Dei Colli,0.0,1.0,0.0
GIACOMO/$/$/Hotel Casena Dei Colli,0.09,0.86,0.05
chamarier/$/$/Hotel Casena Dei Colli,0.0,1.0,0.0
Chiara/$/$/Hotel Casena Dei Colli,0.0,1.0,0.0
Bjarki/$/$/Hotel Casena Dei Colli,0.0,1.0,0.0
Salvatore/$/$/Hotel Casena Dei Colli,0.0,1.0,0.0
Salvatore/$/$/Red Roof Inn Erie,0.0,1.0,0.0
Samuele Marsala/$/$/Hotel Casena Dei Colli,0.71,0.24,0.05
Taka/$/$/Hotel Casena Dei Colli,0.0,1.0,0.0
silvia/$/$/Hotel Casena Dei Colli,0.0,1.0,0.0
JUNG/$/$/Hotel Casena Dei Colli,0.0,1.0,0.0
antonino/$/$/Hotel Casena Dei Colli,0.0,1.0,0.0
Amos C/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.0,1.0,0.0
brbetha01/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.0,1.0,0.0
EMGUY/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.0,1.0,0.0
Pam H/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.02,0.92,0.06
Buzz_of_The_Branch/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.0,1.0,0.0
Rsavell/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.0,1.0,0.0
Angela W/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.02,0.92,0.06
Laura99/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.02,0.92,0.06
SaAnAlEl4/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.02,0.92,0.06
Jannitt T/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.02,0.92,0.06
RustyTennessee/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.0,1.0,0.0
dvcoul2434/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.0,1.0,0.0
prostar190/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.02,0.92,0.06
unclespike18116/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.0,1.0,0.0
imanaveragejoe/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.0,1.0,0.0
Craig S/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.0,1.0,0.0
Craig S/$/$/Best Western Hospitality Hotel and Suites,0.0,1.0,0.0
Craig S/$/$/Cliffrose Lodge Gardens,0.0,1.0,0.0
jarz325/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.0,1.0,0.0
pitsteel26pf/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.02,0.92,0.06
Marcia B/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.0,1.0,0.0
Marcia B/$/$/Best Western Plus Kelly Inn,0.0,1.0,0.0
AmyC201529/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.0,1.0,0.0
forgiven77/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.0,1.0,0.0
KISSarmy24/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.0,1.0,0.0
Doug M/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.0,1.0,0.0
dtdelaney/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.02,0.92,0.06
Kris C/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.0,1.0,0.0
teacheumtolearn/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.0,1.0,0.0
KYLucky/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.02,0.92,0.06
Christie D/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.02,0.92,0.06
Dave S/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.0,1.0,0.0
Janet S/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.02,0.92,0.06
Janet S/$/$/Point Randall Resort,0.0,1.0,0.0
bwcoach9/$/$/Fairfield Inn Suites Chattanooga South/east Ridge,0.02,0.92,0.06
Tracy M./$/$/Ubaa Old Crawford Inn,0.0,1.0,0.0
Dan K/$/$/Holiday Inn Express Hotel Suites Sedalia,0.0,1.0,0.0
Tom R/$/$/Holiday Inn Express Hotel Suites Sedalia,0.0,1.0,0.0
RDNKDR/$/$/Holiday Inn Express Hotel Suites Sedalia,0.0,1.0,0.0
KCC09876/$/$/Holiday Inn Express Hotel Suites Sedalia,0.0,1.0,0.0
Glover R/$/$/Holiday Inn Express Hotel Suites Sedalia,0.0,1.0,0.0
Rob D/$/$/Holiday Inn Express Hotel Suites Sedalia,0.0,1.0,0.0
reginasue/$/$/Holiday Inn Express Hotel Suites Sedalia,0.0,1.0,0.0
EllaPaige/$/$/Holiday Inn Express Hotel Suites Sedalia,0.0,1.0,0.0
TJO410/$/$/Holiday Inn Express Hotel Suites Sedalia,0.0,1.0,0.0
melissacM6784UX/$/$/Hampton Inn & Suites Syracuse/carrier Circle,0.0,1.0,0.0
kirkds/$/$/Hampton Inn & Suites Syracuse/carrier Circle,0.0,1.0,0.0
Adrienne H/$/$/Hampton Inn & Suites Syracuse/carrier Circle,0.0,1.0,0.0
rjbackus/$/$/Hampton Inn & Suites Syracuse/carrier Circle,0.0,1.0,0.0
Heather J/$/$/Hampton Inn & Suites Syracuse/carrier Circle,0.0,1.0,0.0
mgott26/$/$/Hampton Inn & Suites Syracuse/carrier Circle,0.0,1.0,0.0
syd21300/$/$/Hampton Inn & Suites Syracuse/carrier Circle,0.0,1.0,0.0
Marie H/$/$/Hampton Inn & Suites Syracuse/carrier Circle,0.0,1.0,0.0
mauiwedding1997/$/$/Hampton Inn & Suites Syracuse/carrier Circle,0.0,1.0,0.0
Lisa J/$/$/Hampton Inn & Suites Syracuse/carrier Circle,0.0,1.0,0.0
opmmotorsports/$/$/Hampton Inn & Suites Syracuse/carrier Circle,0.0,1.0,0.0
Marguerite M/$/$/Hampton Inn & Suites Syracuse/carrier Circle,0.0,1.0,0.0
Evelyn B/$/$/Hampton Inn & Suites Syracuse/carrier Circle,0.0,1.0,0.0
TravellingTFP/$/$/Hampton Inn & Suites Syracuse/carrier Circle,0.0,1.0,0.0
jennifermT3971FO/$/$/Hampton Inn & Suites Syracuse/carrier Circle,0.0,1.0,0.0
J4729XQvictord/$/$/Hampton Inn & Suites Syracuse/carrier Circle,0.0,1.0,0.0
Sean B/$/$/Hampton Inn & Suites Syracuse/carrier Circle,0.0,1.0,0.0
Sean B/$/$/Anaheim Marriott Suites,0.01,0.98,0.01
SHARON/$/$/Quality Inn and Suites Eugene-springfield,0.0,1.0,0.0
L./$/$/Quality Inn and Suites Eugene-springfield,0.0,1.0,0.0
Pappy/$/$/Quality Inn and Suites Eugene-springfield,0.0,1.0,0.0
karamaree/$/$/Quality Inn and Suites Eugene-springfield,0.0,1.0,0.0
theodore/$/$/Quality Inn and Suites Eugene-springfield,0.0,1.0,0.0
theodore/$/$/Holiday Inn Express Hotel & Suites Emporia,0.0,1.0,0.0
Debora L/$/$/Quality Inn and Suites Eugene-springfield,0.0,1.0,0.0
Christy/$/$/Quality Inn and Suites Eugene-springfield,0.0,1.0,0.0
Christy/$/$/Quality Inn and Suites,0.0,0.99,0.01
Christy/$/$/Microtel Inn By Wyndham Knoxville,0.0,1.0,0.0
Christy/$/$/Days Inn Lanham Washington Dc,0.0,1.0,0.0
Leonard/$/$/Quality Inn and Suites Eugene-springfield,0.0,1.0,0.0
Baxman/$/$/Quality Inn and Suites Eugene-springfield,0.0,1.0,0.0
Jo/$/$/Quality Inn and Suites Eugene-springfield,0.0,1.0,0.0
Jo/$/$/Hotel An Der Philharmonie,0.0,1.0,0.0
Jo/$/$/La Quinta Inn and Suites Meridian,0.06,0.91,0.03
Jo/$/$/Econo Lodge Miles City,0.01,0.96,0.03
Jo/$/$/Quality Inn and Suites Big Rapids,0.0,0.97,0.03
LauraLee Clement/$/$/Quality Inn and Suites Eugene-springfield,0.07,0.89,0.04
Scott Burch/$/$/Quality Inn and Suites Eugene-springfield,0.07,0.89,0.04
Brett/$/$/Quality Inn and Suites Eugene-springfield,0.0,1.0,0.0
Brett/$/$/Fairbridge Inn,0.53,0.43,0.04
Brett/$/$/Grand Hotel Cadenabbia,0.0,1.0,0.0
Brett/$/$/Residence Inn By Marriott Hartford Downtown,0.0,1.0,0.0
Brett/$/$/La Quinta Inn and Suites Meridian,0.02,0.96,0.02
JD Lindsay/$/$/Quality Inn and Suites Eugene-springfield,0.0,1.0,0.0
K-State_Travler/$/$/Four Points By Sheraton Memphis Southwind,0.0,1.0,0.0
Gabe Vaughan/$/$/Four Points By Sheraton Memphis Southwind,0.56,0.3,0.14
Alberto Hernández De Santiago/$/$/Four Points By Sheraton Memphis Southwind,0.0,1.0,0.0
Traveling_Man_1638/$/$/Four Points By Sheraton Memphis Southwind,0.0,1.0,0.0
brahmtrading/$/$/Four Points By Sheraton Memphis Southwind,0.0,1.0,0.0
FalkirkJennylonglegs/$/$/Four Points By Sheraton Memphis Southwind,0.0,1.0,0.0
Lillian G/$/$/Four Points By Sheraton Memphis Southwind,0.0,1.0,0.0
Eric White/$/$/Four Points By Sheraton Memphis Southwind,0.7,0.16,0.14
Dari K/$/$/Four Points By Sheraton Memphis Southwind,0.0,1.0,0.0
