utente/$/$/hotel,brec,drec,urec
A Traveler/$/$/Innisbrook,0.56,0.44,0.0
A Traveler/$/$/Fairfield Inn and Suites By Marriott Plainville,0.56,0.44,0.0
A Traveler/$/$/Marriott's Mountainside At Park City,0.62,0.37,0.01
A Traveler/$/$/Fairfield Inn & Suites Atlanta Perimeter Center,0.61,0.39,0.0
A Traveler/$/$/Super 8 Schenect/albany Area,0.28,0.72,0.0
A Traveler/$/$/Extended Stay America - Columbia - Northwest Harbison,0.57,0.43,0.0
A Traveler/$/$/Hilton San Diego Airport/harbor Island,0.59,0.41,0.0
A Traveler/$/$/Western Inn-glacier Park,0.33,0.67,0.0
A Traveler/$/$/Hampton Inn Sarasota - I-75 Bee Ridge,0.63,0.37,0.0
A Traveler/$/$/Country Inn and Suites By Carlson Galena,0.68,0.32,0.0
A Traveler/$/$/Hampton Inn Roanoke/salem,0.59,0.39,0.02
A Traveler/$/$/Excellence Riviera Cancun - Adults Only - All Inclusive,0.49,0.51,0.0
A Traveler/$/$/Hotel Metropole,0.59,0.41,0.0
A Traveler/$/$/Anglers Inn,0.51,0.49,0.0
A Traveler/$/$/Super 8 Crete Ne,0.48,0.52,0.0
A Traveler/$/$/H��tel Marinca and Spa,0.56,0.39,0.05
A Traveler/$/$/Hyatt Place Pittsburgh Cranberry,0.57,0.43,0.0
A Traveler/$/$/El Dorado Seaside Suites By Karisma - All Inclusive,0.54,0.45,0.01
A Traveler/$/$/Best Western Hospitality Hotel and Suites,0.17,0.83,0.0
A Traveler/$/$/Hotel Adler Cavalieri,0.61,0.39,0.0
A Traveler/$/$/Microtel Inn By Wyndham Knoxville,0.17,0.83,0.0
A Traveler/$/$/H��tel Les Bruy��res,0.67,0.32,0.01
A Traveler/$/$/Comfort Inn Birmingham - Irondale,0.25,0.75,0.0
A Traveler/$/$/Super 8 Madison,0.57,0.43,0.0
A Traveler/$/$/Holiday Inn Express & Suites West Monroe,0.38,0.62,0.0
A Traveler/$/$/Ip Casino Resort Spa,0.64,0.36,0.0
A Traveler/$/$/Travelodge Anaheim Convention Center,0.24,0.76,0.0
A Traveler/$/$/Hampton Inn Tucson-airport,0.7,0.3,0.0
A Traveler/$/$/Palm Suites,0.34,0.66,0.0
A Traveler/$/$/Hampton Inn & Suites-downtown-tutwiler,0.61,0.39,0.0
A Traveler/$/$/La Quinta Inn and Suites Miami Cutler Bay,0.56,0.44,0.0
A Traveler/$/$/Super 8 - Effingham,0.56,0.44,0.0
A Traveler/$/$/Best Western Plus Kelly Inn,0.7,0.3,0.0
A Traveler/$/$/Days Inn Fort Wayne,0.27,0.73,0.0
A Traveler/$/$/Super 8 Bradenton Sarasota Area,0.25,0.75,0.0
A Traveler/$/$/Super 8 - Upland,0.26,0.74,0.0
A Traveler/$/$/Mercure Curitiba Golden Hotel,0.68,0.3,0.02
A Traveler/$/$/Super 8 Big Cabin Vinita Ok,0.21,0.79,0.0
A Traveler/$/$/Radisson Blu Conference and Airport Hotel,0.59,0.41,0.0
A Traveler/$/$/Days Inn North Columbia Ft. Jackson,0.22,0.78,0.0
A Traveler/$/$/Campanile Lyon Ecully,0.61,0.38,0.01
A Traveler/$/$/Bayside Resort Hotel,0.53,0.47,0.0
A Traveler/$/$/Super 8 Batesville Ar,0.25,0.75,0.0
A Traveler/$/$/Simpson House Inn,0.75,0.25,0.0
A Traveler/$/$/A Bed & Breakfast In Cambridge,0.13,0.86,0.01
A Traveler/$/$/Clatskanie River Inn,0.63,0.36,0.01
A Traveler/$/$/Inn At Mendenhall,0.53,0.47,0.0
A Traveler/$/$/Comfort Inn and Suites Bend,0.6,0.39,0.01
A Traveler/$/$/La Quinta Inn and Suites Hopkinsville,0.55,0.45,0.0
A Traveler/$/$/Super 8 Blackwell Ok,0.58,0.41,0.01
A Traveler/$/$/Super 8 Belle Fourche,0.24,0.76,0.0
A Traveler/$/$/Merritt House Inn,0.61,0.38,0.01
A Traveler/$/$/Comfort Inn Montgomery,0.36,0.64,0.0
A Traveler/$/$/Residence Inn By Marriott Hartford Downtown,0.62,0.38,0.0
A Traveler/$/$/Super 8 Indianapolis,0.35,0.65,0.0
A Traveler/$/$/Residence Inn By Marriott Springdale,0.61,0.39,0.0
A Traveler/$/$/Hyatt House Colorado Springs,0.61,0.39,0.0
A Traveler/$/$/Garden of The Gods Club & Resort,0.72,0.28,0.0
A Traveler/$/$/Holiday Inn Express - Hillsboro,0.54,0.46,0.0
A Traveler/$/$/Super 8 Fort Collins,0.14,0.86,0.0
A Traveler/$/$/Inter-hotel Orl��ans Nord,0.62,0.37,0.01
A Traveler/$/$/Red Roof Inn Erie,0.7,0.3,0.0
A Traveler/$/$/Hampton Inn Dublin,0.63,0.37,0.0
A Traveler/$/$/Knights Inn Eau Claire,0.24,0.75,0.01
A Traveler/$/$/Hampton Inn and Suites Annapolis,0.68,0.32,0.0
A Traveler/$/$/Towneplace Suites Albany University Area,0.64,0.36,0.0
