utente/$/$/hotel,somma 
Becky H/$/$/Ramada Vandalia,0.5
Tammie/$/$/Ramada Vandalia,0.39
Tammie/$/$/Americas Best Value Inn,0.31
Tammie/$/$/Hampton Inn and Suites Annapolis,0.43
Bob T./$/$/Ramada Vandalia,0.5
annette/$/$/Ramada Vandalia,0.5
southernyankee55/$/$/Ramada Vandalia,0.5
jedokids7/$/$/Ramada Vandalia,0.39
sheila/$/$/Ramada Vandalia,0.5
sheila/$/$/Simpson House Inn,0.54
Kayleigh/$/$/Ramada Vandalia,0.39
Kamila/$/$/Ramada Vandalia,0.39
Angelia/$/$/Ramada Vandalia,0.39
Rich Rucker/$/$/Ramada Vandalia,0.5
61ronaldd/$/$/Ramada Vandalia,0.39
PeteyRitz/$/$/Ramada Vandalia,0.39
shanita/$/$/Ramada Vandalia,0.39
michellelO7190XZ/$/$/Ramada Vandalia,0.39
Augie/$/$/Ramada Vandalia,0.39
Dale H/$/$/Ramada Vandalia,0.45
Dale H/$/$/Drury Inn and Suites Columbus Convention Center,0.51
justincK6761EU/$/$/Ramada Vandalia,1.08
Pam R/$/$/Ramada Vandalia,0.39
travelredcard/$/$/Ramada Vandalia,0.39
Ken S/$/$/Ramada Vandalia,0.45
Ken S/$/$/Drury Inn and Suites Columbus Convention Center,0.51
911tabathac/$/$/Ramada Vandalia,0.39
lauralG206ET/$/$/Ramada Vandalia,0.39
dswaffle/$/$/Ramada Vandalia,0.39
housefull8/$/$/Ramada Vandalia,0.39
marla/$/$/Ramada Vandalia,0.5
erickU8849RW/$/$/Ramada Vandalia,0.39
Ed B/$/$/Ramada Vandalia,0.39
Ed B/$/$/Lazy T Motel,0.08
Mary M/$/$/Ramada Vandalia,0.39
Mary M/$/$/Chelsea Inn,0.43
Matt W./$/$/Ramada Vandalia,0.39
103marianl/$/$/Ramada Vandalia,0.5
Dolores C/$/$/Ramada Vandalia,0.39
Kevin F/$/$/Ramada Vandalia,0.39
286douglasw/$/$/Ramada Vandalia,0.5
sallyw192/$/$/Ramada Vandalia,0.39
Karris/$/$/Super 8 Elko Nv,0.35
Alice/$/$/Super 8 Elko Nv,0.41
Alice/$/$/Una Hotel Forte Dei Marmi,0.44
Alice/$/$/Simpson House Inn,0.52
Alice/$/$/Super 8 Metropolis,0.44
Frans/$/$/Super 8 Elko Nv,0.33
tiffany/$/$/Super 8 Elko Nv,0.33
tiffany/$/$/Fiesta Inn and Suites,0.16
Beulah/$/$/Super 8 Elko Nv,0.35
Lily/$/$/Super 8 Elko Nv,0.33
Lily/$/$/Days Inn and Suites Albany,0.26
Rand/$/$/Super 8 Elko Nv,0.33
nate/$/$/Super 8 Elko Nv,0.33
Barbara R./$/$/Super 8 Elko Nv,0.45
Sharon J/$/$/Super 8 Elko Nv,0.33
Gerald/$/$/Super 8 Elko Nv,0.33
Gerald/$/$/Hyatt Place Pittsburgh Cranberry,0.47
Gerald/$/$/Inn At Mendenhall,0.48
Gerald/$/$/Super 8 Fort Collins,0.37
Gerald/$/$/Hotel Roc Flamingo,0.39
Gerald/$/$/Fiesta Inn and Suites,0.27
Gerald/$/$/Holiday Inn Express San Clemente,0.47
Gerald/$/$/The Westin Buckhead,0.45
Gerald/$/$/Sportsmen's Lodge,0.35
Gerald/$/$/Drury Inn and Suites Columbus Convention Center,0.5
Winifred/$/$/Super 8 Elko Nv,0.46
Winifred/$/$/Hampton Inn Virginia Beach Oceanfront North,0.57
Gabriel/$/$/Super 8 Elko Nv,0.33
Gabriel/$/$/Super 8 - Upland,0.27
Gabriel/$/$/Super 8 Batesville Ar,0.95
Gabriel/$/$/Crossland Economy Studios - Lake Charles - Sulphur,0.25
Gabriel/$/$/Americas Best Value Inn - Medical Center/airport,0.4
Dionne/$/$/Super 8 Elko Nv,0.33
Marion/$/$/Super 8 Elko Nv,0.61
Marion/$/$/Candlewood Suites Eugene Springfield,0.83
bobbymunk/$/$/Hotel Borgo Verde,0.47
Ivana e Daniele/$/$/Hotel Borgo Verde,0.47
michele andrea/$/$/Hotel Borgo Verde,0.44
Franziska/$/$/Hotel Borgo Verde,0.47
Giuseppe/$/$/Hotel Borgo Verde,1.18
saverio/$/$/Hotel Borgo Verde,0.44
Lorenzo/$/$/Hotel Borgo Verde,0.44
Lorenzo/$/$/Una Hotel Forte Dei Marmi,0.43
Lorenzo/$/$/Norwood Inn and Suites,0.28
Lorenzo/$/$/Quinta Real Acapulco,1.21
celine/$/$/Hotel Borgo Verde,0.44
Maenner/$/$/Hotel Borgo Verde,0.47
CELINE/$/$/Hotel Borgo Verde,0.47
Dorte/$/$/Hotel Borgo Verde,0.44
zapan/$/$/Hotel Borgo Verde,0.44
Reinder/$/$/Hotel Borgo Verde,0.44
taj/$/$/Hotel Borgo Verde,0.44
nicola/$/$/Hotel Borgo Verde,0.44
LYN/$/$/Hotel Borgo Verde,0.47
ingrid/$/$/Hotel Borgo Verde,0.44
Enzo/$/$/Hotel Borgo Verde,0.44
Jackie P/$/$/Hotel Borgo Verde,0.47
Marianne/$/$/Hotel Borgo Verde,0.54
Marianne/$/$/Candlewood Suites Eugene Springfield,0.79
Marianne/$/$/Monarch Inn,0.51
Jussi/$/$/Hotel Borgo Verde,0.47
GASPARE/$/$/Hotel Borgo Verde,0.44
Tomas/$/$/Vista Hotel On Lake Tarpon,0.38
Tomas/$/$/Arizona Inn of Prescott Valley,0.34
Caitlyn/$/$/Vista Hotel On Lake Tarpon,0.38
Michalel/$/$/Vista Hotel On Lake Tarpon,0.38
Bryan/$/$/Vista Hotel On Lake Tarpon,0.42
Bryan/$/$/Super 8 Manhattan Ks,0.39
Bryan/$/$/Discovery Inn,0.33
Bryan/$/$/Best Western Plus San Marcos Inn,0.41
Bryan/$/$/Best Western Hospitality Hotel and Suites,0.41
Bryan/$/$/Bayside Resort Hotel,1.09
Bryan/$/$/Red Roof Inn Erie,0.46
Bryan/$/$/Hampton Inn Dublin,0.43
Bryan/$/$/Comfort Inn Huntingdon,0.44
Bryan/$/$/The Abbey Resort,0.51
Roberto/$/$/Vista Hotel On Lake Tarpon,0.38
Roberto/$/$/Melia Paris Champs-elys��es,0.43
Roberto/$/$/Holiday Inn Express & Suites Phoenix Downtown - Ballpark,0.47
Roberto/$/$/Bayside Resort Hotel,1.09
Roberto/$/$/Fiesta Inn and Suites,0.23
Alana/$/$/Vista Hotel On Lake Tarpon,0.39
Eduardo/$/$/Vista Hotel On Lake Tarpon,0.42
Eduardo/$/$/Hotel Silken Siete Coronas,1.24
Eduardo/$/$/City Express Irapuato,0.44
Ariel/$/$/Vista Hotel On Lake Tarpon,1.09
Ariel/$/$/Americas Best Value Inn - Medical Center/airport,0.4
Lana/$/$/Vista Hotel On Lake Tarpon,0.46
Lana/$/$/Dockers Inn,0.48
KmS/$/$/Vista Hotel On Lake Tarpon,0.38
bob/$/$/Vista Hotel On Lake Tarpon,0.38
bob/$/$/Best Western Hotel De Neuville,0.44
Billy/$/$/Vista Hotel On Lake Tarpon,1.01
Billy/$/$/Palm Suites,0.38
Billy/$/$/Red Roof Inn Erie,0.46
Billy/$/$/Super 8 Kansas City Airport,0.32
rich/$/$/Vista Hotel On Lake Tarpon,0.47
rich/$/$/Hotel Metropole,0.52
rich/$/$/Residence Inn By Marriott Hartford Downtown,0.5
leslie/$/$/Vista Hotel On Lake Tarpon,0.38
leslie/$/$/Country Inn and Suites By Carlson,0.39
leslie/$/$/Extended Stay America - Raleigh - Cary - Regency Parkway S,0.34
Patricia E/$/$/Vista Hotel On Lake Tarpon,0.49
John B./$/$/Vista Hotel On Lake Tarpon,0.39
John B./$/$/Hotel Mc Call,0.44
P. Kristine/$/$/Vista Hotel On Lake Tarpon,0.38
Stephanie Van Pelt/$/$/Vista Hotel On Lake Tarpon,0.38
todd/$/$/Vista Hotel On Lake Tarpon,0.39
todd/$/$/Extended Stay America - Raleigh - Cary - Regency Parkway S,0.35
todd/$/$/Hampton Inn Virginia Beach Oceanfront North,0.56
edward/$/$/Vista Hotel On Lake Tarpon,0.39
edward/$/$/Country Inn and Suites By Carlson,0.39
edward/$/$/Howard Johnson Inn - Newburgh,0.4
edward/$/$/Casa Del Mar Inn Bandb,0.43
Angel ��������/$/$/Vista Hotel On Lake Tarpon,0.38
Jenna Magnuski/$/$/Vista Hotel On Lake Tarpon,0.89
Janel Johnson/$/$/Vista Hotel On Lake Tarpon,0.38
Andy Weinfurtner/$/$/Vista Hotel On Lake Tarpon,0.38
Family from/$/$/Miramar Boutique Hotel,0.45
peter/$/$/Miramar Boutique Hotel,0.45
peter/$/$/Red Roof Inn St Louis - Troy,0.48
peter/$/$/Inturotel Esmeralda Park,0.49
mc/$/$/Miramar Boutique Hotel,0.45
US couple/$/$/Miramar Boutique Hotel,0.45
anais/$/$/Miramar Boutique Hotel,0.47
anais/$/$/Campanile Lyon Ecully,0.48
Malcolm/$/$/Miramar Boutique Hotel,0.45
Malcolm/$/$/Best Western Plus Kelly Inn,0.47
bourdreux/$/$/Miramar Boutique Hotel,0.47
mrs r/$/$/Miramar Boutique Hotel,0.45
Selim/$/$/Miramar Boutique Hotel,0.45
G��rard S./$/$/Miramar Boutique Hotel,0.47
Nathalie/$/$/Miramar Boutique Hotel,0.45
Nathalie/$/$/Best Western Saint-etienne Aeroport,0.44
frederic/$/$/Miramar Boutique Hotel,0.45
VIRGINIE/$/$/Miramar Boutique Hotel,0.47
Lunegel/$/$/Miramar Boutique Hotel,0.47
Mariella/$/$/Miramar Boutique Hotel,0.47
Yngve/$/$/Miramar Boutique Hotel,0.47
Cecilie/$/$/Miramar Boutique Hotel,0.45
Gisle/$/$/Miramar Boutique Hotel,1.18
Beth H/$/$/Hampton Inn & Suites Fort Worth-west-i-30,0.53
Sheldon & Teresa/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
Les D/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Dawn/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Dawn/$/$/Super 8 Worthington Minnesota,0.35
Dawn/$/$/Americas Best Value Inn,0.39
Dawn/$/$/Homewood Suites - Mall of America,0.51
Dawn/$/$/Harrah's Laughlin Hotel and Casino,0.45
Dawn/$/$/Country Inn and Suites By Carlson Charlotte University Place,0.51
Dawn/$/$/Excellence Riviera Cancun - Adults Only - All Inclusive,0.56
Dawn/$/$/Bayside Resort Hotel,1.04
Dawn/$/$/Comfort Inn Montgomery,0.41
Dawn/$/$/Super 8 Kansas City Airport,0.38
Dawn/$/$/Hampton Inn Virginia Beach Oceanfront North,0.56
Dawn/$/$/Holiday Inn Fond Du Lac,0.49
Dawn/$/$/Hotel Eug��ne En Ville,1.15
Malise/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Robert H/$/$/Best Western Plus French Quarter Landmark Hotel,0.49
Robert H/$/$/Hampton Inn & Suites Fort Worth-west-i-30,0.51
Robert H/$/$/Best Western Plus San Marcos Inn,0.47
Robert H/$/$/Innisbrook,0.5
Robert H/$/$/Holiday Inn Express Hotel and Suites Cambridge,0.47
DarkRoads/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
Savannah K/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
Nigel/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
Nigel/$/$/Villa Carlotta,0.57
Nigel/$/$/Best Western Hotel De Neuville,0.51
Nigel/$/$/Comfort Suites Fort Pierce,0.53
Cherie/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Cherie/$/$/The Jayakarta Bali,0.37
Cherie/$/$/Holiday Inn Express Hotel & Suites Emporia,0.45
Katarkna/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
davdell0812/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
Sally J/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
schuflies/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
paulb212016/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
J5438AKpeterm/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
tricia298/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Lori S/$/$/Best Western Plus French Quarter Landmark Hotel,0.49
Lori S/$/$/Hilton Garden Inn Oconomowoc,0.45
joanne/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Tonja/$/$/Best Western Plus French Quarter Landmark Hotel,0.5
Tonja/$/$/Dallas/fort Worth Marriott Solana,0.48
James G/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
James G/$/$/Red Roof Inn Erie,0.46
jennifercQ577HU/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
Helene K/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
jasbrob/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
513Midwest-Traveler/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
todski85/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
Paige/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Paige/$/$/Super 8 Manhattan Ks,0.35
Paige/$/$/Quality Inn Long Beach Airport,0.31
Erkki/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
M LeFranc/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Mary Ann/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
ajeske/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Glenamaddy/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Myr1944/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
BeaEva2013/$/$/Best Western Plus French Quarter Landmark Hotel,1.36
Sylvia/$/$/Best Western Plus French Quarter Landmark Hotel,0.49
Sylvia/$/$/Quality Inn and Suites,0.45
Sylvia/$/$/Homewood Suites - Mall of America,1.19
Sylvia/$/$/Holiday Inn Express Colton-riverside North,0.42
Jason S/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Jason S/$/$/Hotel Deca - A Noble House Hotel,0.42
Jason S/$/$/Tidewater Inn,0.37
glenn/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
MissChampagne/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
Kelvin M/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
h20dreams5/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Sinfathisar/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Xenia M/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
B1521ZMjeanc/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Russ T/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Tammy S/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
Joan E/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
sgoddard7/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Kathy M/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Kathy M/$/$/La Quinta Inn Auburn Worcester,0.4
don H/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Kristine/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Kristine/$/$/Quality Inn Near Six Flags,0.4
Kristine/$/$/Fireside Inn Santa Cruz,0.39
Kristine/$/$/Anglers Inn,0.49
Kristine/$/$/Palm Suites,0.43
Kristine/$/$/Bayside Resort Hotel,0.46
Kristine/$/$/Lamothe House,0.47
Leslie R/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
Stephanie M/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Stephanie M/$/$/Best Western Hospitality Hotel and Suites,0.39
elpavorealblanco/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Colleen C/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
missvicky267/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Dorothy C/$/$/Best Western Plus French Quarter Landmark Hotel,0.55
Dorothy C/$/$/Hampton Inn Tucson-airport,0.55
Tiffany M/$/$/Best Western Plus French Quarter Landmark Hotel,0.5
Tiffany M/$/$/Country Inn and Suites By Carlson Charlotte University Place,0.5
miktraveler/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
l/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
l/$/$/Harrah's Laughlin Hotel and Casino,0.37
l/$/$/The Jayakarta Bali,0.35
l/$/$/Hyatt Place Atlanta/alpharetta/north Point Mall,0.46
Teresa C/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Judy D/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
DdeKerf/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
benjaming780/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Barry W/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
RachelL58/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
travellady14/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Julinda D/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
Chris H/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Chris H/$/$/Pullman Rail Journeys,0.43
Chris H/$/$/Comfort Inn,0.44
Chris H/$/$/40 Berkeley Hostel,0.37
rosemaryg823/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Randy S/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Randy S/$/$/Best Western University Inn & Suites,0.45
Melanie H/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
neonp/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Daniela V/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
Ligia Q/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Menns/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Kathleen V/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Grayson M/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Wendel/ John M/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
Tony M/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Tony M/$/$/Hotel Deca - A Noble House Hotel,0.42
Eddie R/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
Nisli/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Robert C/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
TheBoatBums/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
Juliana O/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Sandra B/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Sandra B/$/$/Hampton Inn and Suites Annapolis,0.43
helen099/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Angela M/$/$/Best Western Plus French Quarter Landmark Hotel,0.49
Angela M/$/$/Wingate By Wyndham Lagrange,0.46
susanandbillc/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
kroops13/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
Chantalart/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
geertje41/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
Kick L/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
Mike A/$/$/Best Western Plus French Quarter Landmark Hotel,0.51
Mike A/$/$/Gooding Hotel Bed Breakfast,0.43
Mike A/$/$/Aspen Haus Bed and Breakfast,0.47
raymond o/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
ColinAmanda/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
dclovechild1963/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Katie M/$/$/Best Western Plus French Quarter Landmark Hotel,1.36
Laura R/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
Laura R/$/$/Anaheim Marriott Suites,0.55
sheilad1111/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
52pamelaf/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Katieclooney/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Michelle M/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Michelle M/$/$/Hotel Mc Call,0.44
SEUSAtraveler/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
dgnr77/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Stephen K/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
neciebez1/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
abdadof3/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
hollyandzoe/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
imaphnmn/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
Thomas F/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
LISA M/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
pnutsmommyMN/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
xjoperez/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
madfanmn/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Shambrieka B/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Z6965HJericl/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Brad F/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
Christy M/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
DeMarie H/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
Ljjersey/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Pratcar1/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Nykkyl/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Klpatric43/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
joan e/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Auldreekiegirl/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
Janis P/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Janis P/$/$/Lewis River Inn,0.42
ejwo321/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
X1697PDkarenh/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
Felix R/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
Loenuf/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
micah_mcq/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
Pam F/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
2268cs/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
James W/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
James W/$/$/Holiday Inn Express Grove City (outlet Center),0.48
James W/$/$/Microtel Inn By Wyndham Knoxville,0.45
Natasha M/$/$/Best Western Plus French Quarter Landmark Hotel,0.46
Gill10/$/$/Best Western Plus French Quarter Landmark Hotel,0.54
JEAN/$/$/Red Carpet Inn,0.78
JEAN/$/$/Comfort Inn Deland - Near University,0.5
JEAN/$/$/Comfort Suites,0.49
Claudia/$/$/Red Carpet Inn,0.27
Claudia/$/$/Hilton Garden Inn Austin Nw - Arboretum,0.44
Claudia/$/$/Harrah's Laughlin Hotel and Casino,0.36
Claudia/$/$/Hampton Inn Sarasota - I-75 Bee Ridge,0.41
Claudia/$/$/La Quinta Inn and Suites Miami Cutler Bay,0.38
Claudia/$/$/Fiesta Inn and Suites,0.23
Claudia/$/$/Holiday Inn Express and Suites Gahanna/columbus Airport E,0.45
Claudia/$/$/The Savoy Hotel,0.48
wioletta/$/$/Red Carpet Inn,0.27
Cathryn/$/$/Quality Inn and Suites,0.33
Tessa/$/$/Quality Inn and Suites,0.4
Marly Marie/$/$/Quality Inn and Suites,0.4
Melvin/$/$/Quality Inn and Suites,0.5
Pearly J. Broussard/$/$/Quality Inn and Suites,0.4
James Wotzka/$/$/Quality Inn and Suites,0.33
KATHY/$/$/Quality Inn and Suites,0.5
KATHY/$/$/Best Western Plus Kelly Inn,0.52
Cind/$/$/Quality Inn and Suites,0.4
jimcojim/$/$/Quality Inn and Suites,0.42
jimcojim/$/$/Comfort Suites,1.19
quality inn/$/$/Quality Inn and Suites,0.33
Lillian S/$/$/Quality Inn and Suites,0.33
Lillian S/$/$/Holiday Inn Express Hotel and Suites Va Beach Oceanfront,0.56
jr549/$/$/Quality Inn and Suites,0.5
traci/$/$/Quality Inn and Suites,0.4
Neetu/$/$/Quality Inn and Suites,0.4
Nathan Hemperley/$/$/Quality Inn and Suites,0.94
Tisha/$/$/Quality Inn and Suites,1.14
AmyC522/$/$/Quality Inn and Suites,0.5
Susan O/$/$/Quality Inn and Suites,0.41
Susan O/$/$/Candlewood Suites Eugene Springfield,0.79
Angierobrts/$/$/Quality Inn and Suites,0.33
0704couple/$/$/Quality Inn and Suites,0.4
muriel/$/$/Quality Inn and Suites,0.4
MeMe/$/$/Quality Inn and Suites,0.33
Bill C/$/$/Quality Inn and Suites,0.5
Jess/$/$/Quality Inn and Suites,0.41
Jess/$/$/Simpson House Inn,1.34
gregg griffin/$/$/Quality Inn and Suites,0.33
Joe Z/$/$/Quality Inn and Suites,0.33
Sherelle/$/$/Quality Inn and Suites,0.33
Tom W/$/$/Quality Inn and Suites,0.35
Tom W/$/$/1785 Inn,0.26
Jerry T/$/$/Quality Inn and Suites,0.5
Misti H/$/$/Quality Inn and Suites,0.33
bill n/$/$/Village Lodge,0.37
Thomas W/$/$/Village Lodge,0.37
Thomas W/$/$/Holiday Inn Express Hotel and Suites Cambridge,0.48
ConnieJo12/$/$/Village Lodge,0.37
Joe F/$/$/Village Lodge,0.37
Joe F/$/$/Wingate By Wyndham Pueblo,0.48
Frances L/$/$/Village Lodge,0.37
Linda R/$/$/Village Lodge,0.37
Linda R/$/$/Jacksonville Plaza Hotel and Suites,0.39
Linda R/$/$/Holiday Inn Express San Clemente,0.47
ciscokid1970/$/$/Village Lodge,0.37
pcc10/$/$/Village Lodge,0.37
Rachel S/$/$/Village Lodge,0.37
travelbooster/$/$/Village Lodge,0.37
travelinghillbilly1/$/$/Village Lodge,0.37
SpiritHiker/$/$/Village Lodge,0.37
KIM/$/$/Super 8 Manhattan Ks,0.35
Darlene/$/$/Super 8 Manhattan Ks,0.35
Darlene/$/$/Hampton Inn Bloomington West,0.48
Darlene/$/$/Arizona Inn of Prescott Valley,0.34
Shauna/$/$/Super 8 Manhattan Ks,0.45
Gretchen/$/$/Super 8 Manhattan Ks,0.35
Michael hobin/$/$/Super 8 Manhattan Ks,0.35
Kari/$/$/Super 8 Manhattan Ks,0.35
Kari/$/$/Marriott's Mountainside At Park City,0.45
Luisa/$/$/Super 8 Manhattan Ks,0.45
Luisa/$/$/Hilton Santo Domingo,0.5
kirk/$/$/Super 8 Manhattan Ks,0.45
Sadnan/$/$/Super 8 Manhattan Ks,0.35
Levi Rokey/$/$/Super 8 Manhattan Ks,0.35
Nick Okami/$/$/Super 8 Manhattan Ks,0.35
Charlotte W/$/$/Raintree Inn,0.36
Tammi S/$/$/Raintree Inn,0.36
Mel2005/$/$/Raintree Inn,0.36
Phyllis M/$/$/Raintree Inn,0.36
AgriHawg/$/$/Raintree Inn,0.36
Rhetta W/$/$/Raintree Inn,0.36
Alan G/$/$/Raintree Inn,0.36
AmaranthPhantom/$/$/Raintree Inn,0.36
Laurel S/$/$/Raintree Inn,0.36
smudge_katie/$/$/Raintree Inn,0.36
Paul B/$/$/Raintree Inn,0.36
Paul B/$/$/Mt. Washington Bed and Breakfast,0.44
Paul B/$/$/Hampton Inn Virginia Beach Oceanfront North,0.56
Paul B/$/$/Rodeway Inn,0.3
iluv2travelwmyboys/$/$/Garden Bed and Breakfast,0.35
Mamcurran/$/$/Garden Bed and Breakfast,0.35
westsussex101/$/$/Garden Bed and Breakfast,0.35
cnorm108/$/$/Alpine Motel,0.18
cheri/$/$/Wine Valley Lodge,0.54
Michael James/$/$/Wine Valley Lodge,1.17
Jennie/$/$/Wine Valley Lodge,0.44
Jungwhan/$/$/Wine Valley Lodge,1.16
Alexia/$/$/Wine Valley Lodge,1.24
Alexia/$/$/New York Marriott Marquis,0.5
Monica/$/$/Wine Valley Lodge,0.44
Monica/$/$/Plaza Hotel and Casino - Las Vegas,0.36
Monica/$/$/Harrah's Laughlin Hotel and Casino,0.36
