utente/$/$/hotel,somma
A Traveler/$/$/La Quinta Inn and Suites Miami Cutler Bay,0.94
A Traveler/$/$/Super 8 - Effingham,0.96
A Traveler/$/$/Best Western Plus Kelly Inn,1.15
A Traveler/$/$/Days Inn Fort Wayne,0.58
A Traveler/$/$/Super 8 Bradenton Sarasota Area,0.54
A Traveler/$/$/Super 8 - Upland,0.49
A Traveler/$/$/Mercure Curitiba Golden Hotel,1.13
A Traveler/$/$/Super 8 Big Cabin Vinita Ok,0.58
A Traveler/$/$/Radisson Blu Conference and Airport Hotel,0.99
A Traveler/$/$/Days Inn North Columbia Ft. Jackson,0.56
A Traveler/$/$/Campanile Lyon Ecully,0.97
A Traveler/$/$/Bayside Resort Hotel,0.98
A Traveler/$/$/Super 8 Batesville Ar,0.57
A Traveler/$/$/Simpson House Inn,1.27
A Traveler/$/$/A Bed & Breakfast In Cambridge,0.51
A Traveler/$/$/Clatskanie River Inn,1.11
A Traveler/$/$/Inn At Mendenhall,1.01
A Traveler/$/$/Comfort Inn and Suites Bend,1.04
A Traveler/$/$/La Quinta Inn and Suites Hopkinsville,1.0
A Traveler/$/$/Super 8 Blackwell Ok,0.93
A Traveler/$/$/Super 8 Belle Fourche,0.53
A Traveler/$/$/Merritt House Inn,1.05
A Traveler/$/$/Comfort Inn Montgomery,0.72
A Traveler/$/$/Residence Inn By Marriott Hartford Downtown,1.1
A Traveler/$/$/Super 8 Indianapolis,0.73
A Traveler/$/$/Residence Inn By Marriott Springdale,1.08
A Traveler/$/$/Hyatt House Colorado Springs,1.08
A Traveler/$/$/Garden of The Gods Club & Resort,1.23
A Traveler/$/$/Holiday Inn Express - Hillsboro,0.99
A Traveler/$/$/Super 8 Fort Collins,0.51
A Traveler/$/$/Inter-hotel Orl��ans Nord,1.01
A Traveler/$/$/Red Roof Inn Erie,1.16
A Traveler/$/$/Hampton Inn Dublin,1.06
A Traveler/$/$/Knights Inn Eau Claire,0.57
A Traveler/$/$/Hampton Inn and Suites Annapolis,1.11
A Traveler/$/$/Towneplace Suites Albany University Area,1.07
A Traveler/$/$/Monterey Beach Dunes Inn,0.61
A Traveler/$/$/H��tel Sezz Paris,1.11
A Traveler/$/$/Super 8 Kansas City Airport,0.62
A Traveler/$/$/Best Western Hotel De Neuville,1.07
A Traveler/$/$/Mccamly Plaza Hotel,0.96
A Traveler/$/$/Wingate By Wyndham Pueblo,1.15
A Traveler/$/$/Hotel Roc Flamingo,0.94
A Traveler/$/$/Campus Inn & Suites Eugene Downtown,0.57
A Traveler/$/$/Super 8 Metropolis,0.55
A Traveler/$/$/Travelodge Ruther Glen,0.49
A Traveler/$/$/Hotel Garibaldi,1.0
A Traveler/$/$/Hampton Inn Virginia Beach Oceanfront North,1.28
A Traveler/$/$/Sleep Inn At Harbour View,0.58
A Traveler/$/$/Courtyard By Marriott Rockaway Mount Arlington,1.07
A Traveler/$/$/Fiesta Inn and Suites,0.43
A Traveler/$/$/Holiday Inn Fond Du Lac,0.9
A Traveler/$/$/Arizona Inn of Prescott Valley,0.58
A Traveler/$/$/Microtel Inn and Suites By Wyndham Burlington,0.59
A Traveler/$/$/The Inn At Bella Vista,1.2
A Traveler/$/$/Quality Inn Long Beach Airport,0.62
A Traveler/$/$/Baymont Inn and Suites Boone,0.55
A Traveler/$/$/Brightwood Inn Country Inn,1.09
A Traveler/$/$/Holiday Inn Express Hotel and Suites Va Beach Oceanfront,1.22
A Traveler/$/$/Hotel Valencia Santana Row,1.2
A Traveler/$/$/Hampton Inn Grand Junction Downtown/historic Main Street,0.97
A Traveler/$/$/Lamothe House,1.04
A Traveler/$/$/Sleep Inn Slidell,0.93
A Traveler/$/$/Comfort Inn Huntingdon,1.03
A Traveler/$/$/Quality Inn and Suites Irvine Spectrum,0.55
A Traveler/$/$/Econo Lodge Bellmawr,0.57
A Traveler/$/$/Crossland Economy Studios - Lake Charles - Sulphur,0.48
A Traveler/$/$/Best Western Silicon Valley Inn,0.97
A Traveler/$/$/Days Inn Lanham Washington Dc,0.6
A Traveler/$/$/La Quinta Inn Auburn Worcester,1.0
A Traveler/$/$/Dockers Inn,1.02
A Traveler/$/$/Anaheim Marriott Suites,1.21
A Traveler/$/$/Monarch Inn,0.6
A Traveler/$/$/Wingate By Wyndham Chantilly / Dulles Airport,1.04
A Traveler/$/$/Days Inn and Suites Albany,0.42
A Traveler/$/$/Holiday Inn Express San Clemente,1.16
A Traveler/$/$/The Westin Buckhead,1.02
A Traveler/$/$/Hyatt Place Atlanta/alpharetta/north Point Mall,1.14
A Traveler/$/$/Americas Best Value Inn - Medical Center/airport,0.92
A Traveler/$/$/Courtyard By Marriott Downtown Boise,1.03
A Traveler/$/$/Fairfield Inn and Suites By Marriott Idaho Falls,0.98
A Traveler/$/$/Greenstay Hotel and Suites,1.01
A Traveler/$/$/Residence Inn By Marriott Fort Lauderdale Weston,1.11
A Traveler/$/$/Quinta Real Acapulco,1.12
A Traveler/$/$/Sportsmen's Lodge,0.55
A Traveler/$/$/Drury Inn and Suites Columbus Convention Center,1.21
A Traveler/$/$/Elba Sara Beach & Golf Resort,1.05
A Traveler/$/$/Good Nite Inn Rohnert Park,0.47
A Traveler/$/$/Comfort Suites Fort Pierce,1.05
A Traveler/$/$/Best Western Hartford Hotel & Suites,1.02
A Traveler/$/$/La Quinta Inn and Suites Meridian,0.64
A Traveler/$/$/Residence Inn By Marriott Tucson Williams Centre,1.14
A Traveler/$/$/Red Roof Inn Cedar Rapids,0.52
A Traveler/$/$/Casa Del Mar Inn Bandb,1.04
